ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	Eindtotaal[Session]	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	BarImage	BarTotalWinst	DoorChoice	Eindtotaal[Block]	FBDoor1	FBDoor2	FBDoor3	FBDoor4	Image1	Image2	Image3	Image4	Procedure	Running	spel.ACC	spel.CRESP	spel.DurationError	spel.OnsetDelay	spel.OnsetTime	spel.OnsetToOnsetTime	spel.RESP	spel.RT	spel.RTTime	TotalGain	TotalLose	Totalsum	TotalsumD1	TotalsumD2	TotalsumD3	TotalsumD4	TrialList	TrialList.Cycle	TrialList.Sample	varV1	varV2	varV3	varV4	varW1	varW2	varW3	varW4	Verliesbedrag	Winstbedrag
Hungry_Donkey_bar_English_2	128	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507675</Frequency><Timestamp dt:dt="r8">37648342496</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-128-1	60.017	-143	1.0.0.18	1	-1005648185	Standard	2.0.10.353	2.0.10.353	08-20-2015	8/20/2015 9:05:04 PM	17:05:04	2.0.10.248	1	Bar50-50.bmp	50	3	?	10r_4g.bmp	0r_4g.bmp	2r_2g.bmp	0r_2g.bmp			2r_2g.bmp		TrialProc	TrialList	0	cvbn	-999999	20	57593	0	b	4875	62468	2	-2	0	0	0	0	0	3	1	1	-10	0	-2	0	4	4	2	2	-2	2
Hungry_Donkey_bar_English_2	128	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507675</Frequency><Timestamp dt:dt="r8">37648342496</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-128-1	60.017	-143	1.0.0.18	1	-1005648185	Standard	2.0.10.353	2.0.10.353	08-20-2015	8/20/2015 9:05:04 PM	17:05:04	2.0.10.248	2	Bar75-25.bmp	75	2	?	0r_4g.bmp	0r_4g.bmp	0r_2g.bmp	0r_2g.bmp		0r_4g.bmp			TrialProc	TrialList	0	cvbn	-999999	16	64507	0	v	2281	66788	6	-2	4	0	4	0	0	8	1	2	0	0	0	0	4	4	2	2	0	4
Hungry_Donkey_bar_English_2	128	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507675</Frequency><Timestamp dt:dt="r8">37648342496</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-128-1	60.017	-143	1.0.0.18	1	-1005648185	Standard	2.0.10.353	2.0.10.353	08-20-2015	8/20/2015 9:05:04 PM	17:05:04	2.0.10.248	3	Bar87-13.bmp	83	2	?	10r_4g.bmp	0r_4g.bmp	2r_2g.bmp	0r_2g.bmp		0r_4g.bmp			TrialProc	TrialList	0	cvbn	-999999	17	68823	0	v	1677	70500	10	-2	8	0	8	0	0	2	1	3	-10	0	-2	0	4	4	2	2	0	4
Hungry_Donkey_bar_English_2	128	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507675</Frequency><Timestamp dt:dt="r8">37648342496</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-128-1	60.017	-143	1.0.0.18	1	-1005648185	Standard	2.0.10.353	2.0.10.353	08-20-2015	8/20/2015 9:05:04 PM	17:05:04	2.0.10.248	4	Bar50-50.bmp	54	1	?	10r_4g.bmp	0r_4g.bmp	2r_2g.bmp	0r_2g.bmp	10r_4g.bmp				TrialProc	TrialList	0	cvbn	-999999	16	72538	0	c	1098	73636	14	-12	2	-6	8	0	0	4	1	4	-10	0	-2	0	4	4	2	2	-10	4
Hungry_Donkey_bar_English_2	128	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507675</Frequency><Timestamp dt:dt="r8">37648342496</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-128-1	60.017	-143	1.0.0.18	1	-1005648185	Standard	2.0.10.353	2.0.10.353	08-20-2015	8/20/2015 9:05:04 PM	17:05:04	2.0.10.248	5	Bar63-37.bmp	60	2	?	0r_4g.bmp	0r_4g.bmp	0r_2g.bmp	0r_2g.bmp		0r_4g.bmp			TrialProc	TrialList	0	cvbn	-999999	16	75671	0	v	669	76340	18	-12	6	-6	12	0	0	6	1	5	0	0	0	0	4	4	2	2	0	4
Hungry_Donkey_bar_English_2	128	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507675</Frequency><Timestamp dt:dt="r8">37648342496</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-128-1	60.017	-143	1.0.0.18	1	-1005648185	Standard	2.0.10.353	2.0.10.353	08-20-2015	8/20/2015 9:05:04 PM	17:05:04	2.0.10.248	6	Bar63-37.bmp	65	2	?	0r_4g.bmp	0r_4g.bmp	0r_2g.bmp	0r_2g.bmp		0r_4g.bmp			TrialProc	TrialList	0	cvbn	-999999	16	78370	0	v	370	78740	22	-12	10	-6	16	0	0	9	1	6	0	0	0	0	4	4	2	2	0	4
Hungry_Donkey_bar_English_2	128	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507675</Frequency><Timestamp dt:dt="r8">37648342496</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-128-1	60.017	-143	1.0.0.18	1	-1005648185	Standard	2.0.10.353	2.0.10.353	08-20-2015	8/20/2015 9:05:04 PM	17:05:04	2.0.10.248	7	Bar25-75.bmp	30	2	?	8r_4g.bmp	50r_4g.bmp	1r_2g.bmp	10r_2g.bmp		50r_4g.bmp			TrialProc	TrialList	0	cvbn	-999999	16	80769	0	v	354	81123	26	-62	-36	-6	-30	0	0	1	1	7	-8	-50	-1	-10	4	4	2	2	-50	4
Hungry_Donkey_bar_English_2	128	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507675</Frequency><Timestamp dt:dt="r8">37648342496</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-128-1	60.017	-143	1.0.0.18	1	-1005648185	Standard	2.0.10.353	2.0.10.353	08-20-2015	8/20/2015 9:05:04 PM	17:05:04	2.0.10.248	8	Bar25-75.bmp	31	3	?	0r_4g.bmp	0r_4g.bmp	0r_2g.bmp	0r_2g.bmp			0r_2g.bmp		TrialProc	TrialList	0	cvbn	-999999	16	83152	0	b	1075	84227	28	-62	-34	-6	-30	2	0	7	1	8	0	0	0	0	4	4	2	2	0	2
Hungry_Donkey_bar_English_2	128	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507675</Frequency><Timestamp dt:dt="r8">37648342496</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-128-1	60.017	-143	1.0.0.18	1	-1005648185	Standard	2.0.10.353	2.0.10.353	08-20-2015	8/20/2015 9:05:04 PM	17:05:04	2.0.10.248	9	Bar37-63.bmp	33	3	?	0r_4g.bmp	0r_4g.bmp	0r_2g.bmp	0r_2g.bmp			0r_2g.bmp		TrialProc	TrialList	0	cvbn	-999999	16	86268	0	b	1271	87539	30	-62	-32	-6	-30	4	0	10	1	9	0	0	0	0	4	4	2	2	0	2
Hungry_Donkey_bar_English_2	128	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507675</Frequency><Timestamp dt:dt="r8">37648342496</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-128-1	60.017	-143	1.0.0.18	1	-1005648185	Standard	2.0.10.353	2.0.10.353	08-20-2015	8/20/2015 9:05:04 PM	17:05:04	2.0.10.248	10	Bar37-63.bmp	33	3	?	12r_4g.bmp	0r_4g.bmp	3r_2g.bmp	0r_2g.bmp			3r_2g.bmp		TrialProc	TrialList	0	cvbn	-999999	16	89567	0	b	516	90083	32	-65	-33	-6	-30	3	0	5	1	10	-12	0	-3	0	4	4	2	2	-3	2
Hungry_Donkey_bar_English_2	128	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507675</Frequency><Timestamp dt:dt="r8">37648342496</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-128-1	60.017	-143	1.0.0.18	1	-1005648185	Standard	2.0.10.353	2.0.10.353	08-20-2015	8/20/2015 9:05:04 PM	17:05:04	2.0.10.248	11	Bar37-63.bmp	36	2	?	10r_4g.bmp	0r_4g.bmp	2r_2g.bmp	0r_2g.bmp		0r_4g.bmp			TrialProc	TrialList	0	cvbn	-999999	16	92116	0	v	1135	93251	36	-65	-29	-6	-26	3	0	3	2	11	-10	0	-2	0	4	4	2	2	0	4
Hungry_Donkey_bar_English_2	128	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507675</Frequency><Timestamp dt:dt="r8">37648342496</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-128-1	60.017	-143	1.0.0.18	1	-1005648185	Standard	2.0.10.353	2.0.10.353	08-20-2015	8/20/2015 9:05:04 PM	17:05:04	2.0.10.248	12	Bar37-63.bmp	37	4	?	0r_4g.bmp	0r_4g.bmp	0r_2g.bmp	0r_2g.bmp				0r_2g.bmp	TrialProc	TrialList	0	cvbn	-999999	16	95282	0	n	2449	97731	38	-65	-27	-6	-26	3	2	6	2	12	0	0	0	0	4	4	2	2	0	2
Hungry_Donkey_bar_English_2	128	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507675</Frequency><Timestamp dt:dt="r8">37648342496</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-128-1	60.017	-143	1.0.0.18	1	-1005648185	Standard	2.0.10.353	2.0.10.353	08-20-2015	8/20/2015 9:05:04 PM	17:05:04	2.0.10.248	13	Bar37-63.bmp	35	1	?	12r_4g.bmp	0r_4g.bmp	3r_2g.bmp	0r_2g.bmp	12r_4g.bmp				TrialProc	TrialList	0	cvbn	-999999	16	99764	0	c	1599	101363	42	-77	-35	-14	-26	3	2	5	2	13	-12	0	-3	0	4	4	2	2	-12	4
Hungry_Donkey_bar_English_2	128	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507675</Frequency><Timestamp dt:dt="r8">37648342496</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-08-20T21:05:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-128-1	60.017	-143	1.0.0.18	1	-1005648185	Standard	2.0.10.353	2.0.10.353	08-20-2015	8/20/2015 9:05:04 PM	17:05:04	2.0.10.248	14	Bar37-63.bmp	36	3	?	10r_4g.bmp	0r_4g.bmp	2r_2g.bmp	0r_2g.bmp			2r_2g.bmp		TrialProc	TrialList	0	cvbn	-999999	16	103396	0	b	1102	104498	44	-79	-35	-14	-26	3	2	4	2	14	-10	0	-2	0	4	4	2	2	-2	2
